학제,지역,분석대상자수,1-5인미만,6-50인미만,51-100인미만,101-300인미만,301-1000명미만,1000명이상
대학교,서울,"40,160","1,809","7,349","2,332","4,783","6,654","17,233"
대학교,부산,"16,103","1,140","4,571","1,283","2,233","2,694","4,182"
대학교,대구,"4,948",327,"1,207",376,498,725,"1,815"
대학교,인천,"3,959",170,791,303,516,646,"1,533"
대학교,광주,"6,706",527,"2,027",482,815,"1,030","1,825"
대학교,대전,"8,882",565,"2,516",745,"1,136","1,488","2,432"
대학교,울산,"1,729",100,393,127,217,282,610
대학교,세종,"1,707",123,505,163,262,273,381
대학교,경기,"19,370","1,253","5,711","1,647","2,894","2,864","5,001"
대학교,강원,"8,645",576,"2,599",803,"1,213","1,238","2,216"
대학교,충북,"8,633",633,"2,712",825,"1,267","1,218","1,978"
대학교,충남,"14,521","1,034","4,817","1,425","2,320","1,956","2,969"
대학교,전북,"6,841",540,"2,038",654,820,"1,018","1,771"
대학교,전남,"4,116",324,"1,265",395,709,634,789
대학교,경북,"13,007","1,091","4,131","1,193","1,768","1,816","3,008"
대학교,경남,"7,091",566,"2,208",627,"1,113","1,055","1,522"
대학교,제주,"1,173",110,387,97,94,154,331
